     time (s)       traj1:dt1e-7     traj2:dt1e-7     traj3:dt1e-8    traj4:dt1e-8
   2.4800000e-04   4.1540946e+02   4.0013174e+02   4.1458491e+02   4.2448718e+02
   2.5000000e-04   4.1442741e+02   3.9832934e+02   4.1363836e+02   4.2352244e+02
   2.5200000e-04   4.1442741e+02   3.9742814e+02   4.1269182e+02   4.2255769e+02
   2.5400000e-04   4.1344535e+02   3.9742814e+02   4.1174528e+02   4.2062821e+02
   2.5600000e-04   4.1246330e+02   3.9742814e+02   4.0890566e+02   4.1966346e+02
   2.5800000e-04   4.1049918e+02   3.9652695e+02   4.0701258e+02   4.1869872e+02
   2.6000000e-04   4.0951713e+02   3.9652695e+02   4.0701258e+02   4.1580449e+02
   2.6200000e-04   4.0951713e+02   3.9562575e+02   4.0606604e+02   4.1291026e+02
   2.6400000e-04   4.0951713e+02   3.9292216e+02   4.0606604e+02   4.1291026e+02
   2.6600000e-04   4.0853507e+02   3.9202096e+02   4.0606604e+02   4.1194551e+02
   2.6800000e-04   4.0853507e+02   3.9202096e+02   4.0417296e+02   4.1194551e+02
   2.7000000e-04   4.0853507e+02   3.9202096e+02   4.0227987e+02   4.1098077e+02
   2.7200000e-04   4.0853507e+02   3.9111976e+02   4.0133333e+02   4.1001603e+02
   2.7400000e-04   4.0853507e+02   3.9111976e+02   4.0038679e+02   4.0905128e+02
   2.7600000e-04   4.0853507e+02   3.9021856e+02   4.0038679e+02   4.0712179e+02
   2.7800000e-04   4.0853507e+02   3.8841617e+02   4.0038679e+02   4.0615705e+02
   2.8000000e-04   4.0558891e+02   3.8841617e+02   3.9849371e+02   4.0422756e+02
   2.8200000e-04   4.0558891e+02   3.8751497e+02   3.9754717e+02   4.0422756e+02
   2.8400000e-04   4.0264274e+02   3.8571257e+02   3.9470755e+02   4.0422756e+02
   2.8600000e-04   4.0166069e+02   3.8571257e+02   3.9470755e+02   4.0422756e+02
