	time (s)    traj1		traj2		traj3		traj4		traj5
   2.7000000e-06   5.9200000e+02   5.9600000e+02   5.9500000e+02   6.0000000e+02   5.9400000e+02
   2.8000000e-06   5.9100000e+02   5.9500000e+02   5.9500000e+02   6.0000000e+02   5.9400000e+02
   2.9000000e-06   5.9100000e+02   5.9500000e+02   5.9400000e+02   6.0000000e+02   5.9400000e+02
   3.0000000e-06   5.9100000e+02   5.9500000e+02   5.9300000e+02   5.9900000e+02   5.9300000e+02
   3.1000000e-06   5.9100000e+02   5.9500000e+02   5.9300000e+02   5.9900000e+02   5.9300000e+02
   3.2000000e-06   5.9100000e+02   5.9500000e+02   5.9200000e+02   5.9700000e+02   5.9300000e+02
   3.3000000e-06   5.9100000e+02   5.9500000e+02   5.9200000e+02   5.9600000e+02   5.9200000e+02
   3.4000000e-06   5.9000000e+02   5.9500000e+02   5.9200000e+02   5.9500000e+02   5.9200000e+02
   3.5000000e-06   5.9000000e+02   5.9500000e+02   5.9100000e+02   5.9500000e+02   5.9200000e+02
   3.6000000e-06   5.9000000e+02   5.9500000e+02   5.9100000e+02   5.9400000e+02   5.9200000e+02
   3.7000000e-06   5.9000000e+02   5.9500000e+02   5.9100000e+02   5.9400000e+02   5.9200000e+02
   3.8000000e-06   5.9000000e+02   5.9500000e+02   5.9100000e+02   5.9400000e+02   5.9200000e+02
   3.9000000e-06   5.9000000e+02   5.9500000e+02   5.9100000e+02   5.9400000e+02   5.9200000e+02
   4.0000000e-06   5.9000000e+02   5.9500000e+02   5.9100000e+02   5.9400000e+02   5.9200000e+02
   4.1000000e-06   5.9000000e+02   5.9500000e+02   5.9000000e+02   5.9400000e+02   5.9200000e+02
   4.2000000e-06   5.9000000e+02   5.9400000e+02   5.9000000e+02   5.9400000e+02   5.9200000e+02
   4.3000000e-06   5.8900000e+02   5.9400000e+02   5.8900000e+02   5.9300000e+02   5.9200000e+02
   4.4000000e-06   5.8900000e+02   5.9400000e+02   5.8900000e+02   5.9200000e+02   5.9200000e+02
   4.5000000e-06   5.8800000e+02   5.9400000e+02   5.8900000e+02   5.9100000e+02   5.9200000e+02
   4.6000000e-06   5.8800000e+02   5.9400000e+02   5.8900000e+02   5.9000000e+02   5.9100000e+02
