   time(s)         CopyNums
   3.2887743e-01   3.1124907e+01
   3.4440873e-01   3.1124712e+01
   3.6067350e-01   3.1124558e+01
   3.7770637e-01   3.1124451e+01
   3.9554362e-01   3.1124399e+01
   4.1422325e-01   3.1124410e+01
   4.3378502e-01   3.1124494e+01
   4.5427060e-01   3.1124662e+01
   4.7572361e-01   3.1124925e+01
   4.9818975e-01   3.1125295e+01
   5.2171686e-01   3.1125787e+01
   5.4635504e-01   3.1126046e+01
   5.7215676e-01   3.1126158e+01
   5.9917697e-01   3.1126270e+01
   6.2747321e-01   3.1126382e+01
   6.5710575e-01   3.1126493e+01
   6.8813770e-01   3.1126603e+01
   7.2063513e-01   3.1126710e+01
   7.5466726e-01   3.1126813e+01
   7.9030657e-01   3.1126913e+01
   8.2762895e-01   3.1127007e+01
   8.6671388e-01   3.1127095e+01
   9.0764461e-01   3.1127174e+01
   9.5050830e-01   3.1127245e+01
   9.9539623e-01   3.1127304e+01
   1.0424040e+00   3.1127350e+01
   1.0916317e+00   3.1127381e+01
   1.1431843e+00   3.1127394e+01
   1.1971713e+00   3.1127387e+01
   1.2537080e+00   3.1127357e+01
   1.3129146e+00   3.1127300e+01
   1.3749172e+00   3.1127213e+01
   1.4398480e+00   3.1127091e+01
   1.5078450e+00   3.1126931e+01
   1.5790533e+00   3.1126830e+01
   1.6536244e+00   3.1126772e+01
   1.7317171e+00   3.1126721e+01
   1.8134978e+00   3.1126676e+01
   1.8991406e+00   3.1126641e+01
   1.9888279e+00   3.1126615e+01
   2.0827506e+00   3.1126601e+01
   2.1811089e+00   3.1126600e+01
   2.2841122e+00   3.1126615e+01
   2.3919798e+00   3.1126648e+01
   2.5049415e+00   3.1126700e+01
   2.6232379e+00   3.1126722e+01
   2.7471208e+00   3.1126731e+01
   2.8768541e+00   3.1126738e+01
   3.0127141e+00   3.1126742e+01
   3.1549901e+00   3.1126743e+01
   3.3039851e+00   3.1126741e+01
   3.4600164e+00   3.1126734e+01
   3.6234163e+00   3.1126730e+01
   3.7945328e+00   3.1126729e+01
   3.9737304e+00   3.1126728e+01
   4.1613906e+00   3.1126728e+01
   4.3579130e+00   3.1126728e+01
   4.5637163e+00   3.1126729e+01
   4.7792386e+00   3.1126729e+01
   5.0049391e+00   3.1126729e+01
   5.2412983e+00   3.1126729e+01
   5.4888196e+00   3.1126729e+01
   5.7480302e+00   3.1126729e+01
   6.0194820e+00   3.1126729e+01
   6.3037532e+00   3.1126729e+01
   6.6014491e+00   3.1126729e+01
   6.9132038e+00   3.1126729e+01
   7.2396811e+00   3.1126729e+01
   7.5815765e+00   3.1126729e+01
   7.9396178e+00   3.1126729e+01
   8.3145678e+00   3.1126729e+01
   8.7072248e+00   3.1126729e+01
   9.1184252e+00   3.1126729e+01
   9.5490446e+00   3.1126729e+01
   1.0000000e+01   3.1126729e+01
