CopyNums, at 5e-6s timepts, 5 trajectories.
200	203	218	223	226
200	203	216	222	226
199	202	216	222	226
199	201	215	222	226
199	201	215	222	226
199	201	215	222	225
199	201	215	222	224
199	200	215	222	224
199	199	215	221	224
199	199	215	221	224
199	199	215	221	223
199	198	214	221	223
198	198	214	221	223
198	198	212	221	223
198	197	211	219	222
198	197	212	217	222
196	197	212	218	222
196	197	212	218	221
195	197	212	218	221
195	197	212	218	221
194	197	210	218	220
194	197	209	218	220
194	196	209	218	220
194	196	209	217	220
193	195	209	217	220
192	195	207	216	220
191	195	206	216	220
191	195	206	216	220
191	195	206	215	220
190	195	205	214	219
190	195	205	213	218
190	195	204	213	217
190	195	204	213	216
189	195	203	211	216
188	195	203	211	214
188	195	203	211	214
188	195	203	210	214
188	195	203	210	214
188	196	203	210	215
188	195	202	210	215
187	194	202	209	215
187	194	202	208	214
187	194	202	207	214
186	194	201	206	214
186	193	200	205	214
186	193	200	205	214
186	192	199	205	213
185	192	199	204	213
185	191	199	204	213
185	191	199	204	211
185	191	199	204	211
185	190	199	203	210
185	190	198	203	210
184	190	198	203	210
184	190	197	203	210
182	189	197	202	210
182	189	197	202	210
182	189	197	201	210
180	189	197	201	210
180	189	197	201	210
180	189	197	200	210
179	189	197	200	209
178	189	197	199	209
178	189	197	199	209
177	189	197	199	209
177	189	197	199	209
177	189	197	199	209
177	187	196	198	209
177	186	194	198	209
174	185	194	198	209
173	185	194	197	209
172	185	193	197	209
172	185	193	197	209
171	185	193	196	209
171	185	193	196	208
171	185	193	196	208
171	185	193	196	208
171	184	193	196	207
170	184	193	196	207
170	183	193	195	207
170	183	193	195	207
170	183	193	193	207
170	183	192	193	207
170	182	192	193	207
170	182	191	193	206
170	182	191	193	206
170	182	190	193	206
170	182	190	193	206
170	182	190	192	206
170	181	190	192	206
169	181	190	191	207
170	181	190	191	207
170	181	190	191	205
169	181	190	191	205
169	181	190	191	204
169	181	188	190	204
168	181	188	190	203
168	181	187	191	203
168	181	188	191	202
168	181	188	191	202
168	181	186	190	201
168	181	186	190	200
167	181	186	190	200
166	181	185	189	200
166	181	184	189	199
166	181	183	189	198
166	181	183	189	198
166	181	183	188	198
166	181	183	188	196
166	181	183	188	196
166	181	183	188	196
166	181	182	188	196
166	181	180	189	196
166	181	180	188	195
166	181	180	188	195
166	180	179	188	194
165	180	179	187	194
165	180	179	186	193
165	179	179	186	193
165	179	179	185	193
165	179	179	185	193
165	179	179	185	193
165	178	179	185	193
165	178	178	185	193
164	177	178	185	193
164	177	178	185	193
164	178	178	185	193
164	178	178	185	193
164	176	178	185	192
164	175	176	185	191
163	175	176	185	191
162	175	176	185	190
162	174	176	185	190
161	174	176	185	190
161	174	176	185	190
161	174	176	185	190
161	173	176	185	189
161	173	176	185	189
161	172	176	185	189
161	172	176	185	189
161	172	175	185	189
160	172	175	185	187
160	172	175	184	187
160	172	175	184	187
160	172	175	184	187
160	172	175	184	185
160	172	175	184	185
160	172	174	184	185
160	171	174	184	185
160	170	174	183	185
159	169	174	183	185
159	169	174	183	185
159	168	174	182	185
158	168	174	182	185
