"Model: 'Rev2D_ka10_kon3.07::3D sphere, deterministic'"
"Simulation: 'Simulation12' ()"
(SimID_173446765_0_ (PDE Simulation))
"Sim time range (0.0 0.199999999999986) (saved timepoints 4001)"
"Number of variables (14)"
"Variable names","A_PM","B_PM","C_PM","vcRegionVolume","vcRegionArea","vcRegionVolume_cell","vcRegionVolume_extracellular","J_r1","Size_cell","Size_EC","Size_PM","sobj_cell1_extracellular0_size","vobj_cell1_size","vobj_extracellular0_size"

"variable ('A_PM') times (0.0 0.127749999999994) "
,Time
Coordinates,,(roi=('mp0') coord=(X=-5.204170427930421E-18 Y=-0.282 Z=0.0)),(roi=('mp1') coord=(X=0.282 Y=-5.204170427930421E-18 Z=0.0))
,0.00584999999999999,58.41931286276938,58.41931286725132
,0.00589999999999999,58.04338104603836,58.04338105034023
,0.00594999999999999,57.67414562820955,57.67414563231248
,0.00599999999999999,57.311446410553074,57.311446414597874
,0.00604999999999999,56.95512776065189,56.95512776458639
,0.00609999999999999,56.60503891611531,56.60503891976878
,0.00614999999999999,56.26103405273078,56.26103405611906
,0.00619999999999999,55.92297187524697,55.92297187851198
,0.00624999999999999,55.590715294252114,55.59071529744391
,0.00629999999999999,55.26413142617399,55.2641314290328
,0.00634999999999999,54.94309104704541,54.943091049709764
,0.00639999999999999,54.6274688083854,54.62746881117877
,0.00644999999999999,54.31714325305315,54.31714325588651
,0.00649999999999999,54.01199650786813,54.01199651049551
,0.00654999999999999,53.7119140730716,53.71191407547816
,0.00659999999999999,53.41678482232661,53.416784825116764
,0.00664999999999999,53.12650053603669,53.12650053872747
,0.00669999999999999,52.84095614275549,52.84095614487191
,0.00674999999999999,52.56004966720758,52.560049669121064
,0.00679999999999999,52.28368199955454,52.283682001584225
,0.00684999999999999,52.01175674736651,52.0117567493391
,0.00689999999999999,51.744180152517025,51.744180154275945
,0.00694999999999999,51.480861091183,51.48086109309757
,0.00699999999999999,51.221710818250976,51.221710820125736
,0.00704999999999999,50.96664299109571,50.96664299250538
,0.00709999999999998,50.71557365147789,50.715573652618396
,0.00714999999999998,50.46842109416643,50.468421095523865
,0.00719999999999998,50.22510577234969,50.225105773872464
,0.00724999999999998,49.98555020700078,49.985550208264534
,0.00729999999999998,49.749678940289364,49.74967894137992
,0.00734999999999998,49.517418488583324,49.517418489777285
,0.00739999999999998,49.288697342448735,49.2886973438941
,0.00744999999999998,49.063445695773694,49.06344569712319
,0.00749999999999998,48.84159551966353,48.84159552073604
,0.00754999999999998,48.623080577549395,48.62308057886691
,0.00759999999999998,48.40783632065446,48.4078363223796
,0.00764999999999998,48.19579979884739,48.195799800506116
,0.00769999999999998,47.9869096034841,47.98690960483835
,0.00774999999999998,47.781105867407824,47.78110586932813
,0.00779999999999998,47.57833014842671,47.578330150518354
,0.00784999999999998,47.378525442309645,47.37852544391695
,0.00789999999999998,47.18163615033644,47.181636151754056
,0.00794999999999998,46.98760801350248,46.98760801516567
,0.00799999999999998,46.796388064753174,46.7963880664826
,0.00804999999999998,46.607924594599716,46.60792459614261
,0.00809999999999998,46.422167119437816,46.422167120885135
,0.00814999999999998,46.23906634484019,46.239066346298436
,0.00819999999999998,46.05857416555655,46.05857416681956
,0.00824999999999998,45.88064351956707,45.88064352063594
,0.00829999999999998,45.70522844619146,45.70522844717344
,0.00834999999999998,45.53228407815935,45.532284078838224
,0.00839999999999998,45.36176657796483,45.361766578241756
,0.00844999999999998,45.19363309330924,45.19363309342331
,0.00849999999999998,45.02784173228902,45.02784173235352
,0.00854999999999998,44.86435154465913,44.86435154458495
,0.00859999999999998,44.70312249742899,44.703122497256224
,0.00864999999999998,44.54411544787337,44.54411544774241
,0.00869999999999998,44.38729214353232,44.387292143655024
,0.00874999999999997,44.232615127958134,44.232615127947355
,0.00879999999999997,44.08004775768246,44.0800477571391
,0.00884999999999997,43.92955421105342,43.92955420994474
,0.00889999999999997,43.78109945288714,43.781099450976726
,0.00894999999999997,43.63464919608306,43.63464919344463
,0.00899999999999997,43.49016987874814,43.49016987623505
,0.00904999999999997,43.34762866419689,43.34762866391164
,0.00909999999999997,43.20699338502108,43.206993385810485
,0.00914999999999997,43.06823255630428,43.06823255591953
,0.00919999999999997,42.93131536625329,42.93131536475057
,0.00924999999999997,42.796211645232496,42.79621164429646
,0.00929999999999997,42.6628918458125,42.6628918463331
,0.00934999999999997,42.53132702806618,42.53132702947389
,0.00939999999999997,42.401488845347195,42.401488846424634
,0.00944999999999997,42.27334954429002,42.27334954398354
,0.00949999999999997,42.14688190611872,42.146881906045714
,0.00954999999999997,42.022059264197225,42.02205926603667
,0.00959999999999997,41.89885550435606,41.898855506085106
,0.00964999999999997,41.777245036684825,41.77724503506534
,0.00969999999999997,41.65720277641233,41.65720277210495
,0.00974999999999997,41.538704134086785,41.538704130824335
,0.00979999999999997,41.421725005354155,41.421725004766394
,0.00984999999999997,41.30624175751151,41.30624175750983
,0.00989999999999997,41.19223122950698,41.192231222669136
,0.00994999999999997,41.079670688820954,41.07967068111501
,0.00999999999999997,40.96853784737226,40.96853784687474
